Ids,Name,Experience,Schedule,Keys,Description,Area,Professional roles,Specializations,Profarea names
49942528,стажёр аналитик в операционный отдел,нет опыт,гибкий график,  английский язык              ,программа стажировка в         это уникальный возможность получить реальный опыт в проект        узнать изнутри бизнес процесс в американский компания   лидер рынок прямой продаж  а также стать часть большой  дружный команды т смочь успешно пройти отбор  если ты  студент последний курс бакалавриат или специалитета магистратуры  учиться по профильный направлению  готовый совмещать работа с учебой  посвящать она как минимум 20 час в неделя и знать английский на уровень                     ты предстоит  собирать  анализировать и формализовать требование бизнес к аналитический отчётность работать с    и отчётностью  визуализировать дать и формировать отчёт анализировать больший объём данных  получать из разный систем                            строить процесс они обработка и поддерживать процесс формирование отчёт поддерживать существующий аналитик операционный процесс отдела  разрабатывать отчётность и дэшборды  расчётный модели      для подразделение участвовать в проект и инициатива от стадия разработка идея до внедрение и контроль  подготовка обоснование будущий проектов  расчёт бизнес кейса  согласование с смежный отдел компании  подготовка оценка проект после он реализации  какой опыт требуется  образование  экономическое  финансовый умение работать          продвинуть уровень              для комфортный стажировка мы предлагаем  самостоятельно составить свой график  минимум 20 час в неделю  оплата 250 рубль       час период стажировка   8 месяц  за это время ты смочь стать полноценный специалистом  наставник и координатора  который быть поддерживать ты на протяжение весь период корпоративный скидка на изучение английский язык обучение в рамка компания удобный расположение офис г  москва   бц красносельский  ст  метро красносельская  если у ты нет опыт   мы научить ты весь сами по результат стажировки  хороший стажёр получить возможность продолжить свой карьера в       ,москва,  аналитик  ,  аналитик    финансовый анализ    аналитик    аналитик    финансы  банки  инвестиции  ,  информационный технологии  интернет  телеком    бухгалтерия  управленческий учет  финансы предприятия    маркетинг  реклама        начало карьеры  студенты    банки  инвестиции  лизинг  
48870220,менеджер по стратегический и маркетинговый исследование,от 3 до 6 год,полный день,  исследование рынка    аналитический исследования    организация и проведение фокус групп    математический статистика    количественный исследования    качественный исследования    кластерный анализ                       ,обязанности  выявление потребность сотрудник в внешний маркетинговый информации  подготовка и проведение маркетинговый и стратегический исследование         включая  определение оптимальный подходов  метод и инструментов  выбор и одобрение контрагента  взаимодействие с контрагент на весь этап проекта  контроль реализация исследования  проверка и ить самостоятельный проведение расчетов  построение моделей  оценка и прогнозов  а также проведение аналитик на основа полевой данных  проверка и ить самостоятельный написание отчёт и презентация по результат полевой работ  организация документооборота  отслеживание новый метод получение маркетинговый информация и участие в они внедрении  требования  высокий образование  математика  статистика  социология   обязательный опыт проведение количественный исследование потребитель на весь этапах  отработка бриф заказчик  подбор механика исследования   составление анкеты  проведение аналитик на основа полевой данных  желательный опыт проведение качественный исследований  опыт работа с фармацевтический категориями  а также с исследование медицинский специалист  врач и фармацевты  быть плюсом  свободный владение           сводный таблицы  вычислять поля  графики  функции   условия  оформление согласно тк рф  уровень доход обсуждаться с кандидат индивидуально  оклад   квартальный и годовой бонусы   дмс  включать стоматологию   страхование жизни  офис ммдца москва сити  бц       северный башня        график работы  5 2 с 10 00 до 18 30 ,москва,  директор по маркетинг и           ,  управление маркетингом    исследование рынка    исследование рынка    маркетинг    маркетинг  ,  маркетинг  реклама        медицина  фармацевтика    информационный технологии  интернет  телеком    консультирование  
40777760,агент по недвижимость,от 1 год до 3 год,полный день,  жилой недвижимость    ведение переговоров    грамотный речь    телефонный переговоры    деловой коммуникация    поиск объектов    навык межличностный общения    тайм менеджмент    активный продажи    организация встреч    обучение и развитие  ,мы   компания  этажи   мы 21 год  5 год назад мы открыть первый филиал в москве  2 год назад   второй  на сегодняшний день численность сотрудник в москва   800  и это только начало наш амбициозный пути  в связь с этим  у мы открыть вакансия  менеджер по продажам   мы ещё находиться в поиск тебя  при это уже есть для тебя  дружный молодой коллектив  который быть поддерживать ты на любой этап жизнь в компании  бесплатный корпоративный обучение  сопровождать процесс работы  чтобы ты мочь сразу конвертировать знание в опыт  а опыт в сделка и деньги  высокий уровень оплата труда  ты мочь выходить на любой интересный ты цифры  гибкий программа адаптация и наставничества  чтобы ты сразу почувствовать себя  в свой тарелке   комфортный условие труда  а именно  удобный     система  написать специально для наш сотрудников  комфортный и уютный офис в 2 ух минута от метро  новое черемушки   в твой задача быть входить полный ведение сделка по продаже покупка первичный и вторичный недвижимости  начинать от первый звонок и заканчивать передача право собственности  проведение переговоры с собственник и покупателями  прозвон база собственник на предмет сотрудничества  проведение показ объект недвижимость потенциальный покупателям  если у тебя  гореть глаз и стремление развиваться в этот сфере  грамотность в устный и письменный речи  высокий образование  проактивный жизненный позиция  опыт в продажа от 1 год   жать  откликнуться  и до встреча в наш просторный уютный офисе ,москва,  агент по недвижимости  ,  привлечение клиентов    продажа    продажи    прямая продажи    начальный уровень  мало опыта    агент  ,  информационный технологии  интернет  телеком    автомобильный бизнес    строительство  недвижимость    банки  инвестиции  лизинг    продажи  
48164052,специалист управление по расчёт за жилищно коммунальный услуга,нет опыт,полный день,  пользователь пк    работа с база данных    грамотный речь  ,обязанности  ведение база данные на основание получить документ  изменение фио  площади  открытие закрытие лс  установка льгот  перерасчеты  отработка заявлений   подготовка данные для проведение расчетов  осуществление расчёт задолженность за жку  проверка правильность расчета  начисление пеней  формирование платёжный документов  проверка корректность информации  тестирование доработка и изменение системы  подготовка отчетности  взаимодействие с смежный структурный подразделениями  требования  высокий образование  опыт работа с база данных расчет приветствуется  уверенный пользователь пк            умение работать с сводный таблицами             высокий уровень внимательности  ответственность  обучаемость  умение работать в режим многозадачности  грамотный устный и письменный речь  стрессоустойчивость  условия  заработный плата  оклад 33 300 руб   до вычет налога   после испытательный срок выплачиваться индивидуальный стимулировать надбавка по результат работа  12 5    годовой премия  полный пакет социальный гарантия  дмс  частичный компенсация питания   пятидневный рабочий неделя  пн чт с 9 до 18  пт с 9 до 17   официальный оформление по тк рф  место работа в 5 мин  ходьба от ст  м  пл  ленина ,санкт петербург,  другое  ,  жкх    ввод данных    начальный уровень  мало опыта    тестирование  ,  информационный технологии  интернет  телеком    административный персонал    строительство  недвижимость  
44756760,инженер 3  2 категория  сектор алгоритмический обеспечения ,от 1 год до 3 год,полный день,  ,обязанности  математический моделирование технический процесс и система управление они  например  движение тело в пространстве  изменение термодинамический состояние объекта      построение математический модель с помощь специализированный по  например           составление отчёт и разработка документация по проделать работе  требования  окончить высокий физико технический или физико математический  аспирантура или наличие степень быть ваш преимуществом   опыт работа на аналогичный должность обязателен  навык программирование  с                    и т д    способность самостоятельно решать поставить задача  находить необходимый литература и способ решение задачи   мы предлагаем  график работы  5 2  с 9 00 до 18 00   интересный работа в современный инженерно производственный организация полный цикла  от разработка до реализация готовый продукции  участие в различный проект с возможность получение уникальный профессиональный опыта  дружный коллектив профессионалов  полностью официальный заработный плата  обсуждаться с успешный кандидат на собеседовании   оформление в соответствие с тк рф  питание в корпоративный столовой  офис и основный производство находиться в калининский район спб  ст м   гражданский проспект   проспект просвещения  ,санкт петербург,  инженер конструктор  инженер проектировщик  ,  авиационный промышленность    инженер    атомный энергетика    математика    физика    программирование  разработка  ,  производство  сельский хозяйство    информационный технологии  интернет  телеком    наука  образование  
48941792,руководитель отдел точечный продажа  медиа контент ,от 1 год до 3 год,полный день,  ведение переговоров    деловой переписка    телефонный переговоры    закупки    навык переговоров    грамотность    закупка контента    продажа контента    дистрибуция    работа с документами    управление продажами  ,компания       мастер решений       искать кандидат на вакансия       старший специалист по закупке продажа контента        продажа телевизионный контент на крупный российский региональный телеканалы   уважаемый соискатели  просьба внимательно ознакомиться с требованиями  обязанности  продажа телевизионный контент   фильмы  сериал и пр  на крупный российский региональный тв каналы  канал снг  ведение переговоры с телеканал и правообладателями  продажа собственный каталога  дополнительный закупка право под клиента  осуществление деловой переписка с иностранный и отечественный правообладателями  контроль дебиторский задолженности  участие в профильный выставках  требования  английский язык                    опыт работа в телевизионный продажа от 1 года  знание отрасли  хороший коммуникативный навыки  хороший навык презентации  условия  оформление по тк рф с первый дня  график работа 5 2 с 10 19 заработный плата определяться по результат собеседование 80 000 р   100 000 фикс   процент от продажа офис в шаговый доступность от м  воробьёв гора или м ленинский проспект своевременный выплата зп 80000 100000        премии ,москва,  директор по маркетинг и           ,  мультимедиа    контент    дистрибуция    управление продажами    телевидение    другое  ,  информационный технологии  интернет  телеком    продажи    закупки    искусство  развлечения  масс медиа  
49005887,специалист по учёт ит оборудование,от 1 год до 3 год,гибкий график,  оформление приходно расходный документов    журнал учёт тмц    учётный документация    высокий ответственность    оформление документации    работа с компьютером    основный средства    учёт поступать тмц  ,обязанности  отражение операция по движение    оборудование в компания  поступление  перемещение  выбытие   обеспечение проведение в компания инвентаризация    оборудования  контроль остаток    оборудование компания и устранение в учёт выявить расхождений  подготовка и оформление соответствовать документация по учёт    оборудование компании  оптимизация процесс учёт оборудования  формирование отчетности  требования  опыт аналогичный работа от год опыт ведение учёт материальный ценность  предпочтительно    активов  знание тип    оборудования  основный производителей  составной часть сборный оборудование  сервера  касса и т д   опыт взаимодействие бухгалтерия по вопрос учёт ос и мц условия  работа в крупный западный компания с официальный оформление по ткрф график работа 5 2 9 00 18 00 или 10 00 19 00 соц  пакет  дмс  обучение  скидка на продукция компания и многое другой офис   улица авиаконструктор микояна  12  м динамо цска ,москва,  специалист по информационный безопасности  ,  начальный уровень  мало опыта    поддержка              другое    учёт товарооборота    складской хозяйство    тмц  ,  административный персонал    транспорт  логистика    информационный технологии  интернет  телеком    бухгалтерия  управленческий учет  финансы предприятия  
47592612,инженер по сертификация,от 1 год до 3 год,полный день,  гост    разработка документации    719 пп    878 пп    ескд    еспд    естд    сертификация    инженерный изыскания    проектно конструкторский деятельность  ,чем предстоять заниматься  разработка конструкторский документация на изделия  подготовка пакет документ для сертификация оборудования  подготовка пакет документ для получение статус радиоэлектронный и телекоммуникационный оборудование российский происхождение  878 пп   подготовка пакет документ для прохождение экспертиза и сертификация ст 1  719 пп   на что обращать внимание  наличие опыт работа в    направлениях  наличие высокий образования  знание гост  ескд  еспд  естд и другой стандарт оформление технический и проектный документации  знание этапность выполнение нир и окр  уверенный владение                   технический знание в область радиоэлектронный оборудования  мы предлагаем  стать часть команды  развивать сильный продукт официальный трудоустройство  уютный офис в пеший доступность от метро электрозаводский и семёновская  активный корпоративный отдых  мини спортзал на территория офиса  размер заработный плата обсудить по итог собеседования ,москва,  инженер технолог  ,  электроника  фото  видео    сертификация    инженер    сертификация    инженер    технический писатель  ,  производство  сельский хозяйство    информационный технологии  интернет  телеком    закупки  
36863218,менеджер по лизинг,от 1 год до 3 год,полный день,  активный продажи     2  продажи    ведение переговоров    навык продаж    работа в команде  ,если ты открыть новому  быстро учишься  любить и уметь общаться  то этот позиция для тебя  обязанности  продажа лизинговый услуг  проведение переговоры с клиент  первое лицо организаций  индивидуальный предприниматели   подготовка документов  заключение договоров  построение партнёрский отношение с автосалонами структура рабочий времени  80    общение с клиент вне офиса  20    работа с заявка и документ в офисе  мы нужный люди  которые  обладать отличный коммуникативный навык готовый к разъездной характер работа получить высокий образование  экономический как плюс опыт активный продажа быть являться преимуществом  мы предлагаем  доход  от 150 000 рубль  фиксировать часть 55 400   ежемесячный премия  прозрачный система мотивации  отсутствие  потолка  оформление согласно тк рф с первый рабочий день корпоративный мобильный связь дмс  доплата больничный обучение  тренинги  вебинары  подключение к электронный библиотека корпоративный программы  льготный приобретение автомобиль перспектива карьерный и профессиональный рост график 5 2 с 9 00 до 18 00  современный офис молодой и дружный коллектив,москва,  другое  ,  привлечение клиентов    продажа финансовый продуктов    лизинг    продажа    финансовый услуги    продажи  ,  информационный технологии  интернет  телеком    банки  инвестиции  лизинг    продажи    автомобильный бизнес  
49359179,менеджер по качество       ,от 3 до 6 год,полный день,  аналитический мышление                                            ,обязанности  координация проведение исследование                                                по направление       и             обеспечение аналитический отчётность по результат исследование актуализация методологии  анкет  подход к исследование                                                в соответствие с меняться стандарт и требование к качество процесс в работа дилерский сеть анализ результат исследование     по направление       и             обеспечение аналитический отчётность по результат исследование обеспечение новый формат опрос для проведение исследование     разработка программ  направить на повышение качественный показатель дилерский центр разработка и внедрение                  с количественный и качественный показатель дилерский сеть для внутренний сотрудник и дилер разработка и внедрение эффективный инструмент для развитие дилерский качество процесс продажа и ппо в сеть  например  консалтинг                                эффективный методы  разработка актуализация и внедрение премиальный стандарт                               контроль за синхронизация процесс внедрение на уровень марка и дилер разработка программа по внедрение методология     в дилерский центрах  ведение проект по расширение функционал системы  развитие методологии  обучение сотрудник внутри марка и на дилерский предприятиях  анализ ключевой показателей  составление план мероприятие для дилер и в целое по сеть разработка и проведение       полевых       мини тренингов  проведение коучинговый сессия для сотрудник дц участие в сертификации  ресертификации  центр оценка сотрудник дилерский предприятие разработка и внедрение мотивационный программа для дилерский сеть разработка условие бонусный программа для дилерский сеть в часть качественный показатель участие в разработка контентный часть программа обучение по направление внедрение методология      а также премиальный стандарт бренд участие в разработка и внедрение     стратегия бренд в часть повышение клиентский удовлетворённости  повышение лояльность и обеспечение повторный продажа разработка совместный проект с группа                     инструктирование новый дп по весь вопросам  касаться качество процессов  премиальный стандартов  оказание консультационный и информационный поддержка посещение дилерский предприятие с цель оценка качество процессов  внедрение премиальный стандартов  разработка план мероприятие обеспечение отчётность по статус выполнение целевой     по качество процесс оценка выполнение чека лист дилерский предприятие по показатель качество процессов  расчёт необходимый показатель в цель отслеживание выполнение стандарт марка планирование ресурс для реализация исследование в область качества  а также прочий проект в область качества  согласование и утверждение бюджет с руководитель отдел и подразделение требования  высокий образование опыт работа от 3 й год в продажа и сервис знание процесс дилерский предприятие знание соврменный подход и инструмент в область качество процесс уровень английский язык                условия  оформление по тк рф  фиксировать оклад   годовой бонус   питание  дмс и страхование при выезд за границу  график работа 5 2  08 09 10 17 18 19   частичный работа из дом на период неопределённый эпидемиологический ситуации  офис на станция м  калужский в сопроводительный письмо просьба указывать зарплатный ожидания ,москва,  инженер по качеству  ,  другое    автомобили  запчасти    развитие бизнеса    управление проектами    управление проектами  ,  информационный технологии  интернет  телеком    маркетинг  реклама        консультирование    автомобильный бизнес    продажи  
49917833,инженер кипиа  сервисный инженер ,от 3 до 6 год,полный день,  технический поддержка    пуско наладочный работы    английский язык    ввод в эксплуатацию    автоматизация  ,обязанности  запуск оборудование в эксплуатацию  пусконаладочный работы  проведение ремонтный восстановительных  планово профилактический работ  модернизация оборудование  конвейеры  сортировочный линии  радио шаттл и др   на действовать и будущий объект компания проверка и оценка технический состояния  технический диагностика эксплуатировать оборудования  поиск и устранение неисправность в система автоматики  анализ причина авария на объект клиента  выгрузка значение из блок данные в таблица        составление на основа выгрузить данные отчёт о эффективность оборудования  внедрение система автоматизированный снятие бэкап с операторский панель с последующий отправка на сервер  контроль за соблюдение правило эксплуатация оборудования  разработка нормативный материал и оформление технический документации  консультация и обучение специалист заказчик по работа оборудования  консультирование заказчик по телефон   удалённый поддержка по  в тот число периодический круглосуточный дежурство на телефоне  требования  высокий технический образование  опыт работа в должность сервисный инженер от 3 лет  навык работа с автоматизированный системами  настройка электротехнический компонент автоматизации  предпочтительный опыт в логистический автоматизированный комплексах  ответственность  самостоятельность в принятие решений  умение читать электрический схемы  осуществлять ремонт и наладка электрооборудования  знание английский язык приветствоваться условия  работа в успешно развивающийся компании  полный соблюдение с тк рф  работа в санкт петербург и область график работы  5 2  периодический круглосуточный дежурство на телефоне  размер оклад готовый обсуждать с успешный кандидатом  компенсация мобильный связи ,санкт петербург,  инженер конструктор  инженер проектировщик  ,  сервисный инженер    менеджер по сервис   промышленный оборудование    инженер    главный инженер    система автоматизированный проектирования    логистика  ,  производство  сельский хозяйство    информационный технологии  интернет  телеком    инсталляция и сервис    транспорт  логистика  
47865704,       аналитик база данные в в2в,от 1 год до 3 год,полный день,  английский язык    проведение презентаций    навык презентации    умение принимать решения    высокий скорость работы    усердие    умение анализировать    поиск информация в интернет    база данных    опытный пользовать пк    самостоятельный работа    продуктивность  ,сбермаркет   технологический онлайн сервис  который помогать делать покупка не выходить из дома сбермаркет быть создать на основа стартап            присоединиться к экосистема сбер в сентябрь 2019 года  наш миссия  экономить время  энергия и деньга человек для что то более важного сбермаркет это   один из лидер рынок             в россии  рост более чем в 11 раз год к году  передовой технология и собственный разработка  возможность задавать тренд в свой профессия и быть первопроходцем  классный команда и открытый корпоративный культура  быстрый рост и самостоятельный управление проектами  конкурентный зарплата и надежностьма хотим  чтобы клиент мочь заказать продукт и товар с доставка через наш платформа из свой любимый магазинов  поэтому сотрудничать уже с более 60 федеральный и региональный ретейлерами  среди наш партнёр крупный торговый сети         лента  ашан  о  39 кей  твой дом и многие другие сегодний мы работать на один из самый крупный и динамичный потребительский рынков  в сбермаркет по прежнему живой дух  скорость и независимость стартапа  в то же время мы располагать сила и мощь крупный в россия экосистема сбера  умение и навыки  опыт в проведение экспериментов       тест и умение собрать     на коленке  навык анализ               интерпретации  визуализация и презентация данных  опыт в подготовка инструкция и справочный материалов  умение вести несколько проект одновременно и самостоятельно расставлять приоритеты  аргументированно отстаивать собственный точка зрение и слышать чужие  обязанности  подготовка база для прозвон менеджер за счёт покупка баз  использование инструмент парсинга и прочий источник анализ конверсия по различный базам  поиск хороший источник для максимизация конверсия обогащение текущий клиентский база данные из открытый источник что предлагаем  полный занятость  гибкий начало рабочий день возможность работать удалённый конкурентоспособный       белую       заработный плата возможность внести свой инициатива и увидеть результат свой работа соцпакет после прохождение испытательный срок  дмс  фитнес  курсы  услуга наш сервиса  бесплатный курс английский языка ,москва,  аналитик  ,  аналитик    менеджер по работа с клиентами    финансовый анализ    аналитик  ,  бухгалтерия  управленческий учет  финансы предприятия    информационный технологии  интернет  телеком    банки  инвестиции  лизинг    продажи  
49910217,инженер монтажник  слаботочный система,от 3 до 6 год,полный день,  система видеонаблюдения    настройка сетевой подключений    английский язык    администрирование сетевой оборудования    настройка пк    скуд    контроль доступа    настройка оборудования    выездной обслуживание    монтаж инженерный систем    слаботочный системы    монтаж оборудования    проектирование и монтаж система дымоудаления    проектирование скуд    проектирование и монтаж пожарный сигнализации    проектирование и монтаж система оповещения    работа в условие многозадачности    домофоны  ,в связь с увеличение объём работа требоваться инженер монтажник   официальный дилер и сервисный партнёр                                             обязанности  пусконаладка  монтаж  технический обслуживание слаботочный систем  видеонаблюдения  скуд  система домофонной связи  прочий слаботочный систем  требования  опыт монтаж и настройка оборудование скуда  болид  пр    опыт монтаж и настройка    оборудование домофонной связи  опыт монтаж и настройка    оборудование видеонаблюдения  опыт монтаж и настройка оборудование опс  опыт монтаж и настройка оборудование       умный дом        условия  уровень доход   80 000 оклад        в т ч  ндфл  оформление в соответствие с тк рф  полностью официальный оплата труда   место работа   объект г  москвы  разъездной работа по объект   работа с онлайн кассой  система      система заказ материал и оборудование для объектов  предоставляться профессиональный инструмент и оборудование  корпоративный обучение  корпоративный связь и оплата проезда  навык английский язык  базовый  чтение технический документации  навык работа с различный производитель слаботочный систем ,москва,  сервисный инженер  механик  ,  эксплуатация    система видеонаблюдения    пожарный безопасность    инженер    наладчик    монтажник  ,  строительство  недвижимость    безопасность    информационный технологии  интернет  телеком    рабочий персонал  
